Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Event Name,Country,ISO,Region,Location,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured
2013-0340-PHL,2013,Natural,Hydrological,Flood,,Philippines (the),PHL,South-Eastern Asia,"Region XIII (Caraga), Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen) provinces",2013,8,1,2013,8,9,11,21
2013-0036-PHL,2013,Natural,Meteorological,Storm,Tropcal storm Auring,Philippines (the),PHL,South-Eastern Asia,"Palawan, Mindoro Oriental districts (Region IV (Southern Tagalog) province), Zamboanga Del Norte district (Region IX (Zamboanga Peninsula) province), Compostela, Davao del Norte districts (Region XI (Davao Region) province)",2013,1,3,2013,1,10,1,
2013-0430-PHL,2013,Natural,Meteorological,Storm,Tropical storm Nari (SAnti),Philippines (the),PHL,South-Eastern Asia,"Nueva Vizcaya district (Region II (Cagayan Valley) province), Pangasinan district (Region I (Ilocos region) province), Region III (Central Luzon) province",2013,10,12,2013,10,14,20,154
2013-0437-PHL,2013,Natural,Meteorological,Storm,Typhoon Krosa (Vinta),Philippines (the),PHL,South-Eastern Asia,"Ilocos Norte district (Region I (Ilocos region) province), Cagayan district (Region II (Cagayan Valley) province), Apayao district (Cordillera Administrative region (CAR) province)",2013,10,31,2013,10,31,4,
2013-0433-PHL,2013,Natural,Meteorological,Storm,Typhoon Haiyan (Yolanda),Philippines (the),PHL,South-Eastern Asia,"Samar, Leyte districts (Region VIII (Eastern Visayas) province), Cebu district (Region VII (Central Visayas) province), Iloilo, Capiz, Aklan districts (Region VI (Western Visayas) province), Palawan district (Region IV (Southern Tagalog) province)",2013,11,8,2013,11,8,7354,28689
2013-0434-PHL,2013,Natural,Hydrological,Flood,,Philippines (the),PHL,South-Eastern Asia,"Palawan district (Region IV province), ARMM, Region VI, Region VII, Region, VIII, Region IX, Region X, Region XI, Region XII, Region XIII provinces",2013,10,4,2013,10,10,20,
2013-0188-MEX,2013,Natural,Meteorological,Storm,Hurricane Barbara,Mexico,MEX,Central America,"Chiapas, Oaxaca provinces",2013,5,29,2013,5,29,4,
2013-0394-MEX,2013,Technological,Technological,Transport accident,,Mexico,MEX,Central America,Sierra de la Giganta (Basse-Californie du Sud),2013,10,14,2013,10,14,14,
2013-0129-MEX,2013,Technological,Technological,Transport accident,,Mexico,MEX,Central America,Mexico state,2013,5,7,2013,5,7,25,14
2013-0479-MEX,2013,Technological,Technological,Transport accident,,Mexico,MEX,Central America,Near Naicalpan (Mexico state),2013,10,4,2013,10,4,12,25
2013-0052-MEX,2013,Technological,Technological,Industrial accident,Oil company Pemex Building,Mexico,MEX,Central America,Mexico,2013,1,31,2013,1,31,37,100
2013-0103-MEX,2013,Technological,Technological,Miscellaneous accident,Fireworks,Mexico,MEX,Central America,Nativitas,2013,3,15,2013,3,15,17,80
2013-0382-MEX,2013,Technological,Technological,Industrial accident,,Mexico,MEX,Central America,Oaxaca,2013,8,22,2013,8,22,9,40
2013-0395-PHL,2013,Natural,Geophysical,Earthquake,,Philippines (the),PHL,South-Eastern Asia,"Catigbian village (Bohol district, Region VII (Central Visayas) province), Cebu, Siquijor, Negros Oriental districts (Region VII (Central Visayas) province), Negros Occidental, Iloilo, Guimaras districts (Region VI (Western Visayas) province)",2013,10,15,2013,10,15,230,976
2013-0418-PHL,2013,Natural,Hydrological,Flood,,Philippines (the),PHL,South-Eastern Asia,"Olongapo City area (Zambales district, Region III (Central Luzon) province), Busuanga area (Palawan district, Region IV province)",2013,9,23,2013,9,27,33,8
