education_key,literacy_rate_percent_m_15_24,literacy_rate_percent_15_24,literacy_rate_percent_f_15_plus,literacy_rate_percent_m_15_plus,literacy_percent_15_plus,primary_completion_rate_percent_f,primary_completion_rate_percent_m,primary_completion_rate_percent,primary_enroll_rate_percent_gross,pimary_enroll_rate_percent_gross_f,pimary_enroll_rate_percent_gross_m,primary_enroll_rate_percent_net,primary_enroll_rate_percent_net_f,primary_enroll_rate_percent_net_m,secondary_enroll_rate_percent_gross,secondary_enroll_rate_percent_gross_f,secondary_enroll_rate_percent_gross_m,secondary_enroll_rate_percent_net,secondary_enroll_rate_percent_net_f,secondary_enroll_rate_percent_net_m,tertiary_enroll_rate_percent_gross,spending_education_percent_gdp
3022,100,100,100,100,100,100,-1,-1,98.1893692016602,98.548828125,97.8499298095703,99.61709166666667,-1,-1,103.348960876465,102.266876220703,104.380767822266,94.3504,94.36470000000001,94.33743333333332,63.4673194885254,5.26205015182495
3023,100,100,100,100,100,100,-1,-1,99.5182800292969,100.06697845459,99.0009078979492,99.45167,-1,-1,109.987487792969,109.856071472168,110.112503051758,92.14326,91.93075,92.3454,63.980770111084,4.9362350304921465
3024,100,100,100,100,100,100,-1,-1,100.340713500977,100.913726806641,99.8001480102539,99.43231,-1,-1,109.485992431641,109.61531829834,109.363327026367,91.46145,91.36203,91.55575,65.3322982788086,4.9362350304921465
3025,100,100,100,100,100,100,-1,-1,101.536659240723,102.158683776855,100.948692321777,99.39113,-1,-1,109.333099365234,109.651222229004,109.032302856445,90.95273,90.68651,91.20447,65.612907409668,4.9362350304921465
3026,100,100,100,100,100,100,-1,-1,102.485076904297,102.907958984375,102.08415222168,99.58907,-1,-1,110.35652923584,110.857620239258,109.883949279785,92.4135,92.51468,92.31806,64.7869567871094,4.9362350304921465
3027,100,100,100,100,100,100,-1,-1,101.023872375488,101.068466186523,100.981452941895,99.95587,-1,-1,112.514282226563,113.386459350586,111.693092346191,99.32178,99.69423,98.97111,66.4391784667969,4.9362350304921465
3028,100,100,100,100,100,100,-1,-1,100.94367980957,100.819137573242,101.062438964844,99.8825,-1,-1,113.76286315918,114.520637512207,113.046676635742,99.80968,100,99.62981,68.9225082397461,4.9362350304921465
3029,100,100,100,100,100,100,-1,-1,101.501091003418,101.275398254395,101.716621398926,99.61709166666667,-1,-1,114.123512268066,114.747680664063,113.531532287598,94.3504,94.36470000000001,94.33743333333332,70.1130218505859,4.9362350304921465
3030,100,100,100,100,100,100,-1,-1,100.989753723145,100.694023132324,101.272323608398,99.61709166666667,-1,-1,114.333267211914,114.820533752441,113.869750976563,94.3504,94.36470000000001,94.33743333333332,75.6988220214844,4.9362350304921465
3031,100,100,100,100,100,100,-1,-1,99.82692565917975,99.90225982666013,99.75682017008467,99.61709166666667,-1,-1,107.31641896565758,107.00928141276044,107.61014760335293,94.3504,94.36470000000001,94.33743333333332,65.88021997305063,4.9362350304921465
