qol_key,unemployment_female,unemployment_male,unemployment_total,people_basic_handwashing_facilities,people_basic_handwashing_facilities_rural,people_basic_handwashing_facilities_urban,people_using_at_least_basic_sanitation_services,people_using_at_least_basic_sanitation_services_rural,people_using_at_least_basic_sanitation_services_urban,people_using_at_least_basic_drinking_water_services,people_using_at_least_basic_drinking_water_services_rural,people_using_at_least_basic_drinking_water_services_urban
5052,4.7350001335144,5.0479998588562,4.88000011444092,20.19300119,13.07700646,33.14467264,24.7832615,16.52693083,,63.71828612,51.78284873,85.44172318
5053,4.82999992370605,5.01100015640259,4.91400003433228,20.25982591,13.07700646,33.14467264,25.99405695,17.5074336,,63.80385578,51.5795978,85.73224917
5054,4.95800018310547,5.01200008392334,4.98299980163574,20.32946144,13.07700646,33.14467264,27.22968107,18.50437963,,63.87264074,51.33940253,86.01908564
5055,5.05700016021729,4.97700023651123,5.01999998092651,20.40170471,13.07700646,33.14467264,28.4901292,19.51776891,,63.92485202,51.06226292,86.30223261
5056,6.14400005340576,6.05600023269653,6.10300016403198,20.47695921,13.07700646,33.14467264,29.77614039,20.54760145,,63.96178874,50.74817899,86.58169007
5057,3.82200002670288,5.60300016403198,4.65299987792969,20.265388054285715,13.077006460000003,33.14467264,12.95023864,6.82665512,,58.02753803,47.22238813,80.71946286
5058,4.33500003814697,5.32100009918213,4.79300022125244,20.265388054285715,13.077006460000003,33.14467264,19.08521315,11.87106578,,63.00836034,52.24493842,83.93375064
5059,4.25299978256226,5.3730001449585,4.77299976348877,20.265388054285715,13.077006460000003,33.14467264,18.01055792,10.98922253,,62.7995854,52.22652336,83.62108761
5060,4.21199989318848,5.48799991607666,4.80600023269653,20.265388054285715,13.077006460000003,33.14467264,16.95679908,10.12382254,,61.84906636,51.22569631,83.04076266
5061,4.07999992370605,5.46500015258789,4.72499990463257,20.265388054285715,13.077006460000003,33.14467264,15.92407527,9.274865803,,60.89677769,50.22486927,82.46043771
5062,3.97000002861023,5.47300004959106,4.6710000038147,20.265388054285715,13.077006460000003,33.14467264,14.91211545,8.442352321,,59.94241799,49.22404222,81.88011276
5063,3.92400002479553,5.58400011062622,4.69899988174438,20.265388054285715,13.077006460000003,33.14467264,13.92085708,7.626282093,,58.9860001,48.22321517,81.29978781
5064,4.78599977493286,4.27500009536743,4.46999979019165,76.05299916,65.73358082,85.85882162,66.11190851,54.1143279,,86.09794725,77.61946482,94.15445691
5065,4.27199983596802,4.38199996948242,4.34000015258789,78.71796572,69.40841825,87.32690012,68.58672819,57.0963785,,86.91591354,78.62409415,94.58371151
5066,3.88199996948242,4.15299987792969,4.05000019073486,81.35312153,73.08325567,88.79497861,71.08355243,60.14077557,,87.72586319,79.62786961,95.01305646
5067,4.4229998588562,4.56300020217896,4.51000022888184,83.95799441,76.75809309,90.2630571,73.60086085,63.24751911,,88.52735296,80.63079119,95.44249176
5068,3.86899995803833,4.56899976730347,4.30000019073486,86.53271571,80.43293051,91.7311356,76.13784121,66.41660911,,89.32043532,81.6328589,95.87201741
5069,3.59899997711182,4.05900001525879,3.88000011444092,89.07706113,84.10776794,93.19921409,78.69303054,69.64804557,,90.10462418,82.63407273,96.30163341
5070,4.18100023269653,4.54099988937378,4.40000009536743,91.59156142,87.78260536,94.66729258,81.2661059,72.9418285,,90.88029952,83.63443268,96.73133976
5071,3.34800004959106,3.79800009727478,3.61999988555908,94.0763809,91.45744278,96.13537108,83.85609129,76.29795789,,91.64729028,84.63393876,97.16113646
5072,3.77800011634827,4.60699987411499,4.28000020980835,94.10706813,91.45744278,96.13537108,86.462642,79.71643375,,92.41534961,85.66796238,97.58051207
5073,10.039999961853,6.76599979400635,7.94000005722046,80.00289326066668,71.6133207,88.207747214,49.29277182,34.98567467,,80.02217385,70.56315099,91.15220456
5074,5.56400012969971,4.89499998092651,5.15000009536743,73.35761843,62.0587434,84.39074313,63.65928867,51.19462376,,85.27144926,76.61398162,93.72529267
5075,6.38800001144409,5.12799978256226,5.6100001335144,70.63218206,58.38390598,82.92266464,61.23020925,48.33726608,,84.43671954,75.60764453,93.29621877
