population_key,birth_rate,population_ages_0-14_female,population_ages_0-14_male,population_ages_15-64_female,population_ages_15-64_male,population_ages_65_and_above_female,population_ages_65_and_above_male,population_total,population_growth,mortality_rate_infant,life_expectancy_at_birth_female,life_expectancy_at_birth_male
6095,19.469333333333335,24.7198615234657,27.0000123352096,67.0554682769768,66.0152798683069,7.61810383432982,8.2246701995575,128932753,1.05824003448927,11.8,77.92793333333333,72.1686
6096,27.372,36.3742847249226,37.7357579930344,59.5675124958666,59.3331008808884,3.49175714223657,4.05820277921086,86326251,1.88936545844739,26.4,72.85,65.597
6097,26.823,35.8767857832729,37.2195668208001,59.9194290803249,59.7468759250854,3.61518363998547,4.20378513640219,87888675,1.79372218827953,26,73.049,65.653
6098,26.307,35.3236823556005,36.6474597825724,60.3236789778363,60.2154395204275,3.74084555575686,4.3526386665632,89405482,1.71110434098395,25.7,73.275,65.718
6099,25.841,34.6880760186936,36.005192068156,60.8091086326112,60.7553531575208,3.86655117961421,4.50281534869518,90901967,1.65996399032321,25.3,73.515,65.789
6100,25.422,33.9951832970914,35.3260171253016,61.34622978896,61.3304351276708,3.99581631204171,4.65858691394864,92414161,1.64985843674273,25,73.764,65.868
6101,25.024,33.3066267706653,34.6641649703469,61.8643405394455,61.8786909222991,4.137042899629,4.8290326898892,93966784,1.6661133640265,24.8,74.012,65.957
6102,24.602,32.9496908151193,34.3010905062043,62.1336074924901,62.1665561902564,4.21890539975651,4.91670169239062,95570049,1.69181178702327,24.5,74.25,66.062
6103,24.12,32.6016788518482,33.9682781011321,62.3844614260956,62.4233066313529,4.30572595377332,5.01385972205615,97212639,1.70412578861596,24.2,74.471,66.185
6104,23.562,32.2766945556274,33.66074327041,62.6039847428257,62.6537316501195,4.39712513877222,5.11932070154688,98871558,1.69208799737211,23.9,74.673,66.326
6105,22.935,31.9525758968157,33.3356976588515,62.8133794581365,62.8981649303956,4.49495151589232,5.23404464504779,100513137,1.64668215233623,23.7,74.851,66.48
